"Pdf Customiser by Fooman","Pdf Customiser sukurta Fooman"
"Customer Address Format","Užsakovo adreso formatas"
"Display Base and Order Currency","Rodyti pagrindinę ir užsakymo valiutą"
"Delivery Date","Pristatymo data"
"Display Delivery Date","Rodyti pristatymo datą"
"Displays the date of the invoice again. Needed in some jurisdictions.","Dar kartą atvaizduoti sąskaitos išrašymo datą. Privaloma kai kuriose šalyse."
"Print Order History with Comments","Atspausdinti Užsakymo istoriją su komentarais"
"Single - Shipping Address Label","Vienas – Pristatymo adreso etiketė"
"Single - Billing Address Label","Vienas – Mokėtojo adreso etiketė"
"Double - Both Addresses","Dveji – abu adresai"
"Use Integrated Labels","Naudoti įkeltas etiketes"
"Print Order as Packing Slip","Spausdinti Užsakymą kaip Pakavimo lapą"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Pasirinkite šią opciją jeigu norite spausdinti pakavimo lapus nesukurdami važtaraščių. Tačiau Jūs prarasite galimybę spausdinti pakavimo lapus su sąskaitos faktūros numerio (šiuo atveju bus naudojamas  Užsakymo numeris)."
"Footer Block 1","Apatinė puslapio eilutė – 1 Blokas"
"Footer Block 2","Apatinė puslapio eilutė – 2 Blokas"
"Footer Block 3","Apatinė puslapio eilutė – 3 Blokas"
"Footer Block 4","Apatinė puslapio eilutė – 4 Blokas"
"Double - Shipping and Return Addresses","Dveji – Pristatymo ir grąžinimo adresai"
"Return Address","Grąžinimo adresas"
"Total Weight","Bendras svoris"
"Display Total Weight","Rodyti bendrą svorį"
"kg","kg"
"Background Image for Pdf","Pdf sąskaitų fono paveikslėlis"
"Placement of Logo","Logotipo vieta"
"Logo Width","Logotipo plotis"
"Logo Height","Logotipo aukštis"
"Logo top-left Corner from the left","Logotipas kairėje-viršuje nuo kairės"
"Logo top-left Corner from the top","Logotipas kairėje-viršuje nuo viršaus"
"automatic","automatinis"
"no-scaling","be dydžio koregavimo"
"manual","rankinis"
"Display Email Address","Rodyti el. pašto adresą"
"Displays as part of the billing address.","Rodyti prie Mokėtojo adresas"
"in milimeters","milimetrais"
"Display Row Subtotal Including Tax","Rodyti eilutę „Viso įskaitant mokesčius“"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","Aktualu jeigu „Mokesčiai > Užsakymų, Sąskaitų faktūrų, Kreditinių sąskaitų atvaizdavimo nustatymai > Kainos“ yra  is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes"
"Grand Total is tax inclusive","Bendra suma rodo įskaitant mokesčius"
"Display only one Grand Total","Rodyti tik vieną Bendrą sumą"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Stulpeliai"
"Columns Advanced","Sudėtingesni stulpeliai"
"Display Background only on first page","Rodyti foninį paveikslėlį tik pirmame lape"
"Display Page Number","Display Page Number"
"Custom Column","Papildomi stulpeliai"
"Custom Column Attribute","Papildomų stulpelių parametrai"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
