"Pdf Customiser by Fooman","Pdf Customiser van Fooman"
"Displays the date of the invoice again. Needed in some jurisdictions.","Toont nogmaals de factuurdatum. Noodzakelijk in sommige rechtsgebieden."
"Print Order History with Comments","Druk Bestelgeschiedenis af Incl. Commentaar"
"Single - Shipping Address Label","Enkel - Etiket Verzendadres"
"Single - Billing Address Label","Enkel - Etiket Factuuradres"
"Double - Both Addresses","Dubbel - Beide Adressen"
"Use Integrated Labels","Gebruik Geïntegreerde Etiketten"
"Print Order as Packing Slip","Print Order als Pakbon"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Gebruik deze optie als u direct pakbonen wilt uitdraaien zonder eerst een verzending aan te maken. Echter met deze optie ingeschakeld kunt u geen pakbonnen uitdraaien met het verzendnummer erop. (In plaats daarvan wordt het ordernummer gebruikt.)"
"Footer Block 1","Footer Blok 1"
"Footer Block 2","Footer Blok 2"
"Footer Block 3","Footer Blok 3"
"Footer Block 4","Footer Blok 4"
"Double - Shipping and Return Addresses","Zowel Verzend- als retouradres"
"Return Address","Retouradres"
"Total Weight","Totaal Gewicht"
"Display Total Weight","Toon Totaal Gewicht"
"kg","kilo"
"Background Image for Pdf","Achtergrondafbeelding voor Pdf Pdfs"
"Placement of Logo","Plaatsen van Logo"
"Logo Width","Breedte Logo"
"Logo Height","Hoogte Logo"
"Logo top-left Corner from the left","Logo linker-bovenhoek van de linkerzijde"
"Logo top-left Corner from the top","Logo linker-bovenhoek van de bovenzijde"
"automatic","automatisch"
"no-scaling","niet-geschaald"
"manual","handmatig"
"Display Email Address","Toon email adres"
"Displays as part of the billing address.","Weergave als een deel van het factuuradres."
"in milimeters","in milimeters"
"Display Row Subtotal Including Tax","Toon Rij Totaal Inclusief Btw"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","wordt enkel toegepast indien Btw> Orders, Facturen, Creditnota's Weergaveinstellingen> Prijzen zijn ingesteld zonder weergave Btw"
"Grand Total is tax inclusive","Totaal is inclusief Btw"
"Display only one Grand Total","Geef enkel een Totaal weer"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Bedrag ex btw"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
