"Pdf Customiser by Fooman","Pdf Customiser av Fooman"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","Kopier innholdet av ditt sertifikat/signaturfil inkludert din private nøkkel her. Inkluder alt fra  -----BEGIN RSA PRIVATE KEY----- til -----END CERTIFICATE-----"
"Password of Signature","Signaturpassord"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","Egendefinert tekst som fremkommer nederst på ordrebekreftelsen."
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","Hvilke adresser skal stå på ordren? Merk at nedlastbare produkter ikke har leveringsadresse."
"Display","Visning"
"None","Ingen"
"Product Image","Produktbilde"
"SKU Barcode","SKU strekkode"
"Display Quantity as full number","Vis antall som helt tall"
"US","US"
"European","Europeisk"
"Customer Address Format","Kundeadresse format"
"Display Base and Order Currency","Vis basis og ordre valuta"
"Delivery Date","Leveringsdato"
"Display Delivery Date","Vis Leveringsdato"
"Displays the date of the invoice again. Needed in some jurisdictions.","Viser fakturadato på ny. Kreves i enkelte områder."
"Print Order History with Comments","Skriv ut ordrehistorikk med kommentarer"
"Single - Shipping Address Label","Enkel - Leveringsadresseetikett"
"Single - Billing Address Label","Enkel - Fakturaadresseetikett"
"Double - Both Addresses","Dobbel - begge adresser"
"Use Integrated Labels","Bruk integrerte etiketter"
"Print Order as Packing Slip","Skriv ut Ordre som Pakksedde"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","Bruk dette valget om du ønsker å skrive ut pakkseddel uten å opprette forsendelse. Pakkseddel skrives da ut med Ordre nummer, og ikke nummer for Forsendelse siden dette ikke er opprettet."
"Footer Block 1","Bunn Blokk 1"
"Footer Block 2","Bunn Blokk 2"
"Footer Block 3","Bunn Blokk 3"
"Footer Block 4","Bunn Blokk 4"
"Double - Shipping and Return Addresses","Dobbel - Forsendelse og retur adresse"
"Return Address","Retur Addresse"
"Total Weight","Total Vekt"
"Display Total Weight","Vis Total Vekt"
"kg","kg"
"Background Image for Pdf","Bakgrunnsbilde for Pdf utskrift"
"Placement of Logo","Plassering av Logo"
"Logo Width","Logo Bredde"
"Logo Height","Logo Høyde"
"Logo top-left Corner from the left","Logo topp-venstre Hjørne fra venstre"
"Logo top-left Corner from the top","Logo topp-venstre Hjørne fra topp"
"automatic","automatisk"
"no-scaling","ingen skalering"
"manual","manuell"
"Display Email Address","Vis e-post adresse"
"Displays as part of the billing address.","Vis som en del av faktura adresse."
"in milimeters","i milimeter"
"Display Row Subtotal Including Tax","Vis Rad Total Inkludert Moms"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","påvirkes bare om Tax > Orders, Invoices, Creditmemos Display Settings > Prices er satt til å ikke vise moms"
"Grand Total is tax inclusive","Sluttsum er inkludert moms"
"Display only one Grand Total","Vis bare en sluttsum"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Kolonne"
"Columns Advanced","Avansert Kolonne"
"Display Background only on first page","Vis bakgrunn kun på første side"
"Display Page Number","Display Page Number"
"Custom Column","Egendefinert Kolonne"
"Custom Column Attribute","Egendefinert Kolonne Egenskap"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
