"Pdf Customiser by Fooman","FOOMAN制定Pdf格式化"
"Copy the contents of your certificate/signature file including your private key here. Include everything from -----BEGIN RSA PRIVATE KEY----- to -----END CERTIFICATE-----","複製證書或簽名文件之內容, 包括您的私人鑰匙, 以及一切從RSA私人鑰匙到證書"
"Password of Signature","簽名密碼"
"THSarabunPSK (Thai)","THSarabunPSK (Thai)"
"Add your custom comments here to appear at the bottom of the Order Pdf.","在這裡加入自定義的意見並於訂單打印文件底部顯示。"
"Which addresses should appear on the order? Please note that downloadable product orders don't have a shipping address.","哪個地址應該出現在訂單？請注意，可供下載的產品訂單並沒有一個送貨地址。"
"Display","顯示"
"None","沒有"
"Product Image","產品圖片"
"SKU Barcode","SKU條碼"
"Display Quantity as full number","以數字顯示數量"
"US","美國"
"European","歐洲的"
"Customer Address Format","客戶地址格式"
"Display Base and Order Currency","顯示基礎通貨及訂購貨幣"
"Delivery Date","送貨日期"
"Display Delivery Date","顯示送貨日期"
"Displays the date of the invoice again. Needed in some jurisdictions.","請重新顯示發票日期。需要於某些權限中使用。"
"Print Order History with Comments","列印訂單記錄及意見"
"Single - Shipping Address Label","單一 - 送貨地址標籤"
"Single - Billing Address Label","單一 - 帳單地址標籤"
"Double - Both Addresses","雙 - 送貨地址及帳單地址"
"Use Integrated Labels","使用綜合標籤"
"Print Order as Packing Slip","列印訂單為送貨單"
"Use this option if you would like to print packing slips without having to create shipments. You will however loose the ability to print the packing slips with the shipment number (the order number is used instead).","如你希望列印送貨單而無需另外送貨, 可使用此選項。但你將不能同時列印送貨單及送貨編號 (以訂單號是用來代替)。"
"Footer Block 1","註腳一"
"Footer Block 2","註腳二"
"Footer Block 3","註腳三"
"Footer Block 4","註腳四"
"Double - Shipping and Return Addresses","雙 - 送貨地址及回郵/返回地址"
"Return Address","回郵/返回地址"
"Total Weight","總重量"
"Display Total Weight","顯示總重量"
"kg","公斤"
"Background Image for Pdf","用於Pdf格式文件的之背景圖像"
"Placement of Logo","商標位置"
"Logo Width","商標寬度"
"Logo Height","商標高度"
"Logo top-left Corner from the left","商標左上角(由左開始)"
"Logo top-left Corner from the top","商標左上角(由上開始)"
"automatic","自動"
"no-scaling","無尺度限制"
"manual","簡介/手冊"
"Display Email Address","顯示電郵地址"
"Displays as part of the billing address.","顯示部分帳單地址"
"in milimeters","以毫米"
"Display Row Subtotal Including Tax","顯示列總計(已含稅項)"
"is only effective if Tax > Orders, Invoices, Creditmemos Display Settings > Prices is set to not display taxes","稅收大於訂單、發票、信用備忘錄顯示設置方為有效, 價格並不顯示稅項"
"Grand Total is tax inclusive","總計已包含稅項"
"Display only one Grand Total","只顯示單個總計"
"Display detailed Tax Summary","Display Detailed Tax Summary"
"Columns","Columns"
"Columns Advanced","Columns Advanced"
"Display Background only on first page","Display Background only on first page"
"Display Page Number","Display Page Number"
"Custom Column","Custom Column"
"Custom Column Attribute","Custom Column Attribute"
"Base Amount","Base Amount"
"Select up to 5 attributes.","Select up to 5 attributes."
"Position","Position"
"Pos","Pos"
"right","Right"
"left","Left"
"Display Pdf in New Window","Display Pdf in New Window"
"Weight Unit","Weight Unit"
"Barcode Type","Barcode Type"
"Pdf Totals Sort Order","Pdf Totals Sort Order"
"Upload Custom Font","Upload Custom Font"
"Don't Use","Don't Use"
"Custom Label Left - Shipping Address","Custom Label Left - Shipping Address"
"Custom Label Right - Shipping Address","Custom Label Right - Shipping Address"
"Custom Label Left - Billing Address","Custom Label Left - Billing Address"
"Custom Label Right - Billing Address","Custom Label Right - Billing Address"
"Display Salesrule instead of Coupon Code","Display Salesrule instead of Coupon Code"
"Combines Gift Wrapping for Orders, Items and Printed Cards","Combines Gift Wrapping for Orders, Items and Printed Cards"
"Sort by Column","Sort by Column"
"Use Alternative Layout","Use Alternative Layout"
"Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM).","Please make sure the barcode type is appropriate for the content or the pdf generation might fail (Default: CODE 39 EXTENDED + CHECKSUM)."
"Double - Shipping and Store Addresses","Double - Shipping and Store Addresses"
"Double - Shipping with Store Addresses and Image", "Double - Shipping with Store Addresses and Image"
